RATE,CURRENCY,DATE
0,crc,2/1/2020
0,kzt,2/1/2020
0,ngn,2/1/2020
0.56,bgn,2/1/2020
1.08,eur,3/1/2020
0.7,cad,3/1/2020
1.2,gbp,3/1/2020
0.6,aud,3/1/2020
0.01,jpy,3/1/2020
0.21,brl,3/1/2020
1.01,chf,3/1/2020
0.15,dkk,3/1/2020
0.01,rub,3/1/2020
0.24,pln,3/1/2020
0.1,sek,3/1/2020
0.03,twd,3/1/2020
0.27,ils,3/1/2020
0,krw,3/1/2020
0.04,mxn,3/1/2020
0.09,nok,3/1/2020
0.68,sgd,3/1/2020
0.15,try,3/1/2020
0.71,bnd,3/1/2020
0.01,inr,3/1/2020
0.23,myr,3/1/2020
0.27,sar,3/1/2020
0,clp,3/1/2020
0,cop,3/1/2020
0.6,nzd,3/1/2020
0.23,ron,3/1/2020
0.06,zar,3/1/2020
0.13,hkd,3/1/2020
0.02,php,3/1/2020
0.04,czk,3/1/2020
0.27,aed,3/1/2020
0.06,egp,3/1/2020
0,idr,3/1/2020
0,lbp,3/1/2020
0.29,pen,3/1/2020
0.03,thb,3/1/2020
0.14,cny,3/1/2020
0.14,hrk,3/1/2020
0,huf,3/1/2020
0.01,pkr,3/1/2020
0.27,qar,3/1/2020
0,tzs,3/1/2020
0.04,uah,3/1/2020
0,vnd,3/1/2020
0,crc,3/1/2020
0,kzt,3/1/2020
0,ngn,3/1/2020
0.56,bgn,3/1/2020
1.07,eur,5/1/2020
0.71,cad,5/1/2020
1.21,gbp,5/1/2020
0.64,aud,5/1/2020
0.01,jpy,5/1/2020
0.18,brl,5/1/2020
1.02,chf,5/1/2020
0.14,dkk,5/1/2020
0.01,rub,5/1/2020
0.24,pln,5/1/2020
0.1,sek,5/1/2020
0.03,twd,5/1/2020
0.28,ils,5/1/2020
0,krw,5/1/2020
0.04,mxn,5/1/2020
0.1,nok,5/1/2020
0.7,sgd,5/1/2020
0.14,try,5/1/2020
0.7,bnd,5/1/2020
0.01,inr,5/1/2020
0.23,myr,5/1/2020
0.27,sar,5/1/2020
0,clp,5/1/2020
0,cop,5/1/2020
0.62,nzd,5/1/2020
0.23,ron,5/1/2020
0.06,zar,5/1/2020
0.13,hkd,5/1/2020
0.02,php,5/1/2020
0.04,czk,5/1/2020
0.27,aed,5/1/2020
0.06,egp,5/1/2020
0,idr,5/1/2020
0,lbp,5/1/2020
0.29,pen,5/1/2020
0.03,thb,5/1/2020
0.14,cny,5/1/2020
0.15,hrk,5/1/2020
0,huf,5/1/2020
0.01,pkr,5/1/2020
0.27,qar,5/1/2020
0,tzs,5/1/2020
0.04,uah,5/1/2020
0,vnd,5/1/2020
0,crc,5/1/2020
0,kzt,5/1/2020
0,ngn,5/1/2020
0.57,bgn,5/1/2020
1.11,eur,6/1/2020
0.72,cad,6/1/2020
1.22,gbp,6/1/2020
0.67,aud,6/1/2020
0.01,jpy,6/1/2020
0.19,brl,6/1/2020
1.03,chf,6/1/2020
0.15,dkk,6/1/2020
0.01,rub,6/1/2020
0.25,pln,6/1/2020
0.11,sek,6/1/2020
0.03,twd,6/1/2020
0.28,ils,6/1/2020
0,krw,6/1/2020
0.04,mxn,6/1/2020
0.1,nok,6/1/2020
0.71,sgd,6/1/2020
0.14,try,6/1/2020
0.71,bnd,6/1/2020
0.01,inr,6/1/2020
0.23,myr,6/1/2020
0.27,sar,6/1/2020
0,clp,6/1/2020
0,cop,6/1/2020
0.64,nzd,6/1/2020
0.23,ron,6/1/2020
0.06,zar,6/1/2020
0.13,hkd,6/1/2020
0.02,php,6/1/2020
0.04,czk,6/1/2020
0.27,aed,6/1/2020
0.06,egp,6/1/2020
0,idr,6/1/2020
0,lbp,6/1/2020
0.28,pen,6/1/2020
0.03,thb,6/1/2020
0.14,cny,6/1/2020
0.15,hrk,6/1/2020
0,huf,6/1/2020
0.01,pkr,6/1/2020
0.27,qar,6/1/2020
0,tzs,6/1/2020
0.04,uah,6/1/2020
0,vnd,6/1/2020
0,crc,6/1/2020
0,kzt,6/1/2020
0,ngn,6/1/2020
0.57,bgn,6/1/2020
1.15,eur,8/1/2020
0.74,cad,8/1/2020
1.28,gbp,8/1/2020
0.7,aud,8/1/2020
0.01,jpy,8/1/2020
0.18,brl,8/1/2020
1.07,chf,8/1/2020
0.16,dkk,8/1/2020
0.01,rub,8/1/2020
0.26,pln,8/1/2020
0.11,sek,8/1/2020
0.03,twd,8/1/2020
0.29,ils,8/1/2020
0,krw,8/1/2020
0.04,mxn,8/1/2020
0.11,nok,8/1/2020
0.71,sgd,8/1/2020
0.14,try,8/1/2020
0.72,bnd,8/1/2020
0.01,inr,8/1/2020
0.24,myr,8/1/2020
0.27,sar,8/1/2020
0,clp,8/1/2020
0,cop,8/1/2020
0.68,nzd,8/1/2020
0.25,ron,8/1/2020
0.06,zar,8/1/2020
0.13,hkd,8/1/2020
0.02,php,8/1/2020
0.05,czk,8/1/2020
0.27,aed,8/1/2020
0.06,egp,8/1/2020
0,idr,8/1/2020
0,lbp,8/1/2020
0.28,pen,8/1/2020
0.03,thb,8/1/2020
0.15,cny,8/1/2020
0.16,hrk,8/1/2020
0,huf,8/1/2020
0.01,pkr,8/1/2020
0.27,qar,8/1/2020
0,tzs,8/1/2020
0.04,uah,8/1/2020
0,vnd,8/1/2020
0,crc,8/1/2020
1.19,eur,2/1/2021
0.78,cad,2/1/2021
1.36,gbp,2/1/2021
0.76,aud,2/1/2021
0.01,jpy,2/1/2021
0.18,brl,2/1/2021
1.1,chf,2/1/2021
0.16,dkk,2/1/2021
0.01,rub,2/1/2021
0.26,pln,2/1/2021
0.12,sek,2/1/2021
0.04,twd,2/1/2021
0.3,ils,2/1/2021
0,krw,2/1/2021
0.05,mxn,2/1/2021
0.12,nok,2/1/2021
0.74,sgd,2/1/2021
0.14,try,2/1/2021
0.74,bnd,2/1/2021
0.01,inr,2/1/2021
0.25,myr,2/1/2021
0.27,sar,2/1/2021
0,clp,2/1/2021
0,cop,2/1/2021
0.74,nzd,2/1/2021
0.25,ron,2/1/2021
0.07,zar,2/1/2021
0.13,hkd,2/1/2021
0.02,php,2/1/2021
0.05,czk,2/1/2021
0.27,aed,2/1/2021
0.06,egp,2/1/2021
0,idr,2/1/2021
0,lbp,2/1/2021
0.27,pen,2/1/2021
0.03,thb,2/1/2021
0.15,cny,2/1/2021
0.16,hrk,2/1/2021
0,huf,2/1/2021
0.01,pkr,2/1/2021
0.27,qar,2/1/2021
0,tzs,2/1/2021
0.04,uah,2/1/2021
0,vnd,2/1/2021
0,crc,2/1/2021
0,kzt,2/1/2021
0,ngn,2/1/2021
0.63,bgn,2/1/2021
1.16,eur,11/1/2020
0.75,cad,11/1/2020
1.3,gbp,11/1/2020
0.71,aud,11/1/2020
0.01,jpy,11/1/2020
0.17,brl,11/1/2020
1.08,chf,11/1/2020
0.16,dkk,11/1/2020
0.01,rub,11/1/2020
0.26,pln,11/1/2020
0.11,sek,11/1/2020
0.03,twd,11/1/2020
0.29,ils,11/1/2020
0,krw,11/1/2020
0.05,mxn,11/1/2020
0.11,nok,11/1/2020
0.73,sgd,11/1/2020
0.12,try,11/1/2020
0.74,bnd,11/1/2020
0.01,inr,11/1/2020
0.25,myr,11/1/2020
0.27,sar,11/1/2020
0,clp,11/1/2020
0,cop,11/1/2020
0.7,nzd,11/1/2020
0.25,ron,11/1/2020
0.07,zar,11/1/2020
0.13,hkd,11/1/2020
0.02,php,11/1/2020
0.05,czk,11/1/2020
0.27,aed,11/1/2020
0.06,egp,11/1/2020
0,idr,11/1/2020
0,lbp,11/1/2020
0.28,pen,11/1/2020
0.03,thb,11/1/2020
0.15,cny,11/1/2020
0.16,hrk,11/1/2020
0,huf,11/1/2020
0.01,pkr,11/1/2020
0.27,qar,11/1/2020
0,tzs,11/1/2020
0.04,uah,11/1/2020
0,vnd,11/1/2020
0,crc,11/1/2020
0,kzt,11/1/2020
0,ngn,11/1/2020
0.61,bgn,11/1/2020
0,kzt,8/1/2020
0,ngn,8/1/2020
0.61,bgn,8/1/2020
1.16,eur,9/1/2020
0.74,cad,9/1/2020
1.27,gbp,9/1/2020
0.71,aud,9/1/2020
0.01,jpy,9/1/2020
0.18,brl,9/1/2020
1.08,chf,9/1/2020
0.16,dkk,9/1/2020
0.01,rub,9/1/2020
0.26,pln,9/1/2020
0.11,sek,9/1/2020
0.03,twd,9/1/2020
0.29,ils,9/1/2020
0,krw,9/1/2020
0.05,mxn,9/1/2020
0.11,nok,9/1/2020
0.72,sgd,9/1/2020
0.13,try,9/1/2020
0.72,bnd,9/1/2020
0.01,inr,9/1/2020
0.24,myr,9/1/2020
0.27,sar,9/1/2020
0,clp,9/1/2020
0,cop,9/1/2020
0.66,nzd,9/1/2020
0.24,ron,9/1/2020
0.06,zar,9/1/2020
0.13,hkd,9/1/2020
0.02,php,9/1/2020
0.04,czk,9/1/2020
0.27,aed,9/1/2020
0.06,egp,9/1/2020
0,idr,9/1/2020
0,lbp,9/1/2020
0.28,pen,9/1/2020
0.03,thb,9/1/2020
0.15,cny,9/1/2020
0.16,hrk,9/1/2020
0,huf,9/1/2020
0.01,pkr,9/1/2020
0.27,qar,9/1/2020
0,tzs,9/1/2020
0.04,uah,9/1/2020
0,vnd,9/1/2020
0,crc,9/1/2020
0,kzt,9/1/2020
0,ngn,9/1/2020
0.6,bgn,9/1/2020
1.15,eur,10/1/2020
0.75,cad,10/1/2020
1.27,gbp,10/1/2020
0.7,aud,10/1/2020
0.01,jpy,10/1/2020
0.17,brl,10/1/2020
1.07,chf,10/1/2020
0.16,dkk,10/1/2020
0.01,rub,10/1/2020
0.25,pln,10/1/2020
0.11,sek,10/1/2020
0.03,twd,10/1/2020
0.29,ils,10/1/2020
0,krw,10/1/2020
0.05,mxn,10/1/2020
0.11,nok,10/1/2020
0.72,sgd,10/1/2020
0.12,try,10/1/2020
0.73,bnd,10/1/2020
0.01,inr,10/1/2020
0.24,myr,10/1/2020
0.27,sar,10/1/2020
0,clp,10/1/2020
0,cop,10/1/2020
0.66,nzd,10/1/2020
0.24,ron,10/1/2020
0.06,zar,10/1/2020
0.13,hkd,10/1/2020
0.02,php,10/1/2020
0.04,czk,10/1/2020
0.27,aed,10/1/2020
0.06,egp,10/1/2020
0,idr,10/1/2020
0,lbp,10/1/2020
0.28,pen,10/1/2020
0.03,thb,10/1/2020
0.15,cny,10/1/2020
0.15,hrk,10/1/2020
0,huf,10/1/2020
0.01,pkr,10/1/2020
0.27,qar,10/1/2020
0,tzs,10/1/2020
0.04,uah,10/1/2020
0,vnd,10/1/2020
0,crc,10/1/2020
0,kzt,10/1/2020
0,ngn,10/1/2020
0.6,bgn,10/1/2020
1.19,eur,12/1/2020
0.77,cad,12/1/2020
1.31,gbp,12/1/2020
0.73,aud,12/1/2020
0.01,jpy,12/1/2020
0.19,brl,12/1/2020
1.1,chf,12/1/2020
0.16,dkk,12/1/2020
0.01,rub,12/1/2020
0.27,pln,12/1/2020
0.12,sek,12/1/2020
0.03,twd,12/1/2020
0.3,ils,12/1/2020
0,krw,12/1/2020
0.05,mxn,12/1/2020
0.11,nok,12/1/2020
0.74,sgd,12/1/2020
0.13,try,12/1/2020
0.74,bnd,12/1/2020
0.01,inr,12/1/2020
0.25,myr,12/1/2020
0.27,sar,12/1/2020
0,clp,12/1/2020
0,cop,12/1/2020
0.72,nzd,12/1/2020
0.25,ron,12/1/2020
0.07,zar,12/1/2020
0.13,hkd,12/1/2020
0.02,php,12/1/2020
0.05,czk,12/1/2020
0.27,aed,12/1/2020
0.06,egp,12/1/2020
0,idr,12/1/2020
0,lbp,12/1/2020
0.28,pen,12/1/2020
0.03,thb,12/1/2020
0.15,cny,12/1/2020
0.16,hrk,12/1/2020
0,huf,12/1/2020
0.01,pkr,12/1/2020
0.27,qar,12/1/2020
0,tzs,12/1/2020
0.04,uah,12/1/2020
0,vnd,12/1/2020
0,crc,12/1/2020
0,kzt,12/1/2020
0,ngn,12/1/2020
0.63,bgn,12/1/2020
1.19,eur,1/1/2021
0.77,cad,1/1/2021
1.34,gbp,1/1/2021
0.76,aud,1/1/2021
0.01,jpy,1/1/2021
0.19,brl,1/1/2021
1.11,chf,1/1/2021
0.16,dkk,1/1/2021
0.01,rub,1/1/2021
0.26,pln,1/1/2021
0.12,sek,1/1/2021
0.04,twd,1/1/2021
0.3,ils,1/1/2021
0,krw,1/1/2021
0.05,mxn,1/1/2021
0.12,nok,1/1/2021
0.74,sgd,1/1/2021
1.19,eur,5/1/2021
0.81,cad,5/1/2021
1.38,gbp,5/1/2021
0.76,aud,5/1/2021
0.01,jpy,5/1/2021
0.18,brl,5/1/2021
1.09,chf,5/1/2021
0.16,dkk,5/1/2021
0.01,rub,5/1/2021
0.26,pln,5/1/2021
0.12,sek,5/1/2021
0.04,twd,5/1/2021
0.3,ils,5/1/2021
0,krw,5/1/2021
0.05,mxn,5/1/2021
0.12,nok,5/1/2021
0.74,sgd,5/1/2021
0.12,try,5/1/2021
0.74,bnd,5/1/2021
0.01,inr,5/1/2021
0.24,myr,5/1/2021
0.27,sar,5/1/2021
0,clp,5/1/2021
0,cop,5/1/2021
0.73,nzd,5/1/2021
0.25,ron,5/1/2021
0.07,zar,5/1/2021
0.13,hkd,5/1/2021
0.02,php,5/1/2021
0.05,czk,5/1/2021
0.27,aed,5/1/2021
0.06,egp,5/1/2021
0,idr,5/1/2021
0,lbp,5/1/2021
0.26,pen,5/1/2021
0.03,thb,5/1/2021
0.16,cny,5/1/2021
0.16,hrk,5/1/2021
0,huf,5/1/2021
0.01,pkr,5/1/2021
0.27,qar,5/1/2021
0,tzs,5/1/2021
0.04,uah,5/1/2021
0,vnd,5/1/2021
0,crc,5/1/2021
0,kzt,5/1/2021
0,ngn,5/1/2021
0.62,bgn,5/1/2021
0.13,try,1/1/2021
0.75,bnd,1/1/2021
0.01,inr,1/1/2021
0.25,myr,1/1/2021
0.27,sar,1/1/2021
0,clp,1/1/2021
0,cop,1/1/2021
0.72,nzd,1/1/2021
0.25,ron,1/1/2021
0.07,zar,1/1/2021
0.13,hkd,1/1/2021
0.02,php,1/1/2021
0.05,czk,1/1/2021
0.27,aed,1/1/2021
0.06,egp,1/1/2021
0,idr,1/1/2021
0,lbp,1/1/2021
0.27,pen,1/1/2021
0.03,thb,1/1/2021
0.16,cny,1/1/2021
0.16,hrk,1/1/2021
